Attr1_Str_qu,Attr2_OpPr_qu,Attr3_Costamount_norm,Attr4_RdDi_norm,Attr5_BrDi_norm,Attr5_Str_Type1,Attr5_Str_Type2,Attr5_Str_Type3,Attr6_Major_Type1,Attr6_Major_Type2,Attr7_Cshn1,Attr7_Cshn2,Attr7_Cshn3,Attr7_Cshn4,Attr8_Repha1,Attr8_Repha2,Attr8_Repha3,Attr9_Frctn0,Attr9_Frctn1,Attr10_Snsr0,Attr10_Snsr1,partnumber,s_nm,s_country,s_region,p_nm,p_bu,p_region
0.947368421,0.454545455,-0.22936354,0.284062823,-0.175259828,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,90488712,WIPRO ENTERPRISES (P) LIMITED,India,Region_4,SA02-SOROCABA PARTS,AS,Region_3
0.578947368,0.454545455,-0.232994234,0.284062823,0.543086474,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,90488716,WIPRO ENTERPRISES (P) LIMITED,India,Region_4,SA02-SOROCABA PARTS,AS,Region_3
0.210526316,0.454545455,-0.234990329,-0.038987927,0.599649175,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,90488673,WIPRO ENTERPRISES (P) LIMITED,India,Region_4,SA02-SOROCABA PARTS,AS,Region_3
0.315789474,0,-0.433499679,-0.487669523,0.599649175,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,84408341,SERTA S A,France,Region_2,LP01-CNHI - LE PLESSIS,AS,Region_2
0.842105263,1,0.55973863,0.281819415,0.362085831,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,91739136,ROSENBOOM MACHINE TOOL,United States,Region_1,LB37-INDIANAPOLIS.PARTS DEPOT,AS,Region_1
0.842105263,0,-0.076214284,0.566732229,1.080432133,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,47450959,WIPRO DO BRASIL INDUSTRIAL SA,Brazil,Region_3,SA02-SOROCABA PARTS,AS,Region_3
0.315789474,0.090909091,-0.449798507,-0.487669523,-0.24879134,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,47679902,OGNIBENE POWER S.P.A.,Italy,Region_2,SN01-CNHI -  PEA SAN MATTEO,AS,Region_2
0.947368421,0.545454545,0.45605168,0.279576007,-0.178087964,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,91724931,ROSENBOOM MACHINE TOOL,United States,Region_1,LB37-INDIANAPOLIS.PARTS DEPOT,AS,Region_1
1,0.454545455,-0.323038578,-0.290249621,-0.360502674,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,90488714,WIPRO ENTERPRISES (P) LIMITED,India,Region_4,SA02-SOROCABA PARTS,AS,Region_3
1,0.727272727,0.32866306,1.531397662,0.88246268,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,51612316,WIPRO ENTERPRISES (P) LIMITED,India,Region_4,IN05-INDIA INDORE AFTERSAL(II),AS,Region_4
1,0.727272727,0.324843759,1.531397662,0.88246268,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,91751103,WIPRO ENTERPRISES (P) LIMITED,India,Region_4,IN05-INDIA INDORE AFTERSAL(II),AS,Region_4
0.736842105,0.454545455,-0.372610905,-0.487669523,-0.24879134,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,90488683,WIPRO ENTERPRISES (P) LIMITED,India,Region_4,SA02-SOROCABA PARTS,AS,Region_3
0.263157895,0,-0.596739434,-1.160691919,-0.955825102,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,87546274,OGNIBENE HYDRAULIC COMPONENTS SUZHO,China,Region_4,CNH (CHINA) MANAGEMENT CO LTD,AS,Region_4
0.368421053,0.181818182,-0.248177134,-0.263328725,-0.24879134,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,75270372,PARKER HANNIFIN IND E COM LTDA,Brazil,Region_3,SA02-SOROCABA PARTS,AS,Region_3
0.052631579,0.090909091,-0.608888898,-0.038987927,-1.040669153,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,5190159,OGNIBENE POWER S.P.A.,Italy,Region_2,SN01-CNHI -  PEA SAN MATTEO,AS,Region_2
0.157894737,1,-0.423975003,1.531397662,0.175428918,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,47380847,SERTA S A,France,Region_2,LP01-CNHI - LE PLESSIS,AS,Region_2
0.473684211,0.636363636,0.061767789,-0.285762805,-0.178087964,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,91724900,ROSENBOOM MACHINE TOOL,United States,Region_1,LB37-INDIANAPOLIS.PARTS DEPOT,AS,Region_1
0.473684211,0.545454545,0.061767789,-0.285762805,-0.178087964,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,91724902,ROSENBOOM MACHINE TOOL,United States,Region_1,LB37-INDIANAPOLIS.PARTS DEPOT,AS,Region_1
0.052631579,0.272727273,-0.552416682,-0.572919027,-0.715433623,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,84210572,MONARCH INDUSTRIES LTD,Canada,Region_1,WMF-NA (CURITIBA),AW,Region_1
1,0.545454545,-0.049950696,-0.038987927,-0.24879134,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,75270374,PARKER HANNIFIN IND E COM LTDA,Brazil,Region_3,SA02-SOROCABA PARTS,AS,Region_3
0.789473684,0.272727273,-0.106391478,0.566732229,0.741055927,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,47451794,WIPRO DO BRASIL INDUSTRIAL SA,Brazil,Region_3,SA02-SOROCABA PARTS,AS,Region_3
0.842105263,0.454545455,-0.303879204,-0.003093399,-0.175259828,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,91708337,WIPRO ENTERPRISES (P) LIMITED,India,Region_4,LP01-CNHI - LE PLESSIS,AS,Region_2
0.052631579,0.272727273,-0.471089146,-0.263328725,-0.673011597,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,47625388,S_CNCNBRT17,Italy,Region_2,SN01-CNHI -  PEA SAN MATTEO,AS,Region_2
0.157894737,0.909090909,-0.485555338,-0.715151093,0.362085831,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,47407279,MONARCH INDUSTRIES LTD,Canada,Region_1,LB39-INDIANAPOLIS.PARTS DEPOT,AS,Region_1
0.578947368,0.727272727,-0.55311038,-1.205560078,-1.380045359,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,87602982,Reise Landtechnik Gmbh & Co Kg,Germany,Region_2,HB01-CNH - DIVISION HEIDELBERG,AS,Region_2
0.052631579,0.090909091,-0.601481403,-0.599839923,-1.097231854,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,84327427,Hermanos Heredia Y Mulero Sl,Spain,Region_2,MN02-CNHI - MADRID PEA,AS,Region_2
0.210526316,0.090909091,-0.617146761,-1.295296398,-1.097231854,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,47582858,HOOGENDOORN BV,Netherlands,Region_2,PB01-CNHI PEA BE VIRTUAL DEP.,AS,Region_2
